Dictionary 1: Activism,Activism,Agency,Politics,Movement,Movements,Resist,Resistance,Justice,Organizing,Political,Activist,Rights,Reform,Revolution,Revolutionaries,Revolutionary,Conflict,Peace,War,Consciousnessraising,Labor,Environment,Environmental,Environmentalism,Environmentalist,Welfare,Decolonize,Decolonizing,Decolonization,Separatist,Separatism,Radical,Equality,Liberation,Liberatory,Liberating,Emancipate,Emancipating,Emancipation,Enfranchise,Enfranchisement,Enfranchising,Disenfranchise,Disenfranchisement,Disenfranchising,transformation,advocacy,Intersectionality,coalition,alliances,mobilizing,mobilizing
Dictionary 2: Field Formation,Formation,Method,Methods,Methodology,Methodologies,Epistemology,Epistemologies,Department,Departments,Program,Programs,Pedagogy,Pedagogies,Pedagogical,Philosophy,Philosophical,Knowledge,Experience,Science,Discipline,Disciplines,Disciplinary,Disciplinarity,Interdiscipline,Interdisciplines,Interdisciplinary,Interdisciplinarity,Transdisciplinary,Transdisciplinarity,Empiricism,Standpoint,Leadership,Teach,Teaching,Teacher,Education,Educational,Institution,Institutionalization,Mainstream,Mainstreaming,Freestanding,Praxis,Curriculum,Foundations,Studies,Intersectionality,Intersections,Crenshaw,Crenshaw,,
Dictionary 3: Discrimination,Discrimination,Sexism,Sexist,Racism,Racist,Homophobia,Homophobic,Homophobe,Heterosexism,Heterosexist,Ableism,Ableist,Disability,Tranphobia,Transphobic,Transphobe,Segregation,Segregationist,Privilege,Ethnocentrism,Ethnicentrist,Islamophobia,Islamophobic,Islamophobe,Nativism,Nativist,Nationalism,Nationalist,anti-semitism,bias,stereotype,,,,,,,,,,,,,,,,,,,,,
Dictionary 4: Patriarchy,Patriarchy,Patriarchal,Patriarch,Heteropatriarchal ,Misogyny,Misogynistic,Misogynist,Androcentrism,Androcentrist,Androcentric,Dominance,Dominant,Male,Men,Man,Father,Violence,Masculine,Masculinity,Masculinities,Domestic,Chauvinism,Chauvinist,Chauvinistic,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictionary 5: Race,Race,Black,Latina,Latinas,Chicana,Chicanas,Asian,Asians,African,Africans,American,Americans,Intersection,Intersectional,Intersectionality,Intersections,Identity,Category,Ethnic,Ethnicity,Ethnicities,Racial,Racism,Blackness,Antiblack ,Antiblackness,Rights,Chicano,Chicanos,Latino,Latinos,Latinx,Xicana,Xicanas,Xicano,Xicanos,Native,indigenous,,,,,,,,,,,,,,
Dictionary 6: Global/International,Global,International,Comparative,Transnational,Transnationalism,Globalism,Internationalism,Crossnational ,Crossnationalism,North,South,Border,Borders,Boundary,Boundaries,Transborder,Globalized,Globalization,World,China,India,Japan,Israel,Palestine,Asia,Caribbean,Africa,Europe,European,French,America,American,citizenship,,,,,,,,,,,,,,,,,,,
